filename,label
dataset/train/arpeggios.jpg,ARPEGGIOS
dataset/train/furrow.jpg,FURROW
dataset/train/HACKISH.jpg,HACKISH
dataset/train/Repatriate.jpg,REPATRIATE
dataset/train/passageways.jpg,PASSAGEWAYS
dataset/train/Asparagus.jpg,ASPARAGUS
dataset/train/Monkeying.jpg,MONKEYING
dataset/train/chested.jpg,CHESTED
dataset/train/debussy.jpg,DEBUSSY
dataset/train/infrequence.jpg,INFREQUENCE
dataset/train/habits.jpg,HABITS
dataset/train/jade.jpg,JADE
dataset/train/RENOWN.jpg,RENOWN
dataset/train/SAUTERNES.jpg,SAUTERNES
dataset/train/SENSOR.jpg,SENSOR
dataset/train/RAPIDEST.jpg,RAPIDEST
dataset/train/COMITY.jpg,COMITY
dataset/train/REASONING.jpg,REASONING
dataset/train/SWANEE.jpg,SWANEE
dataset/train/lifelike.jpg,LIFELIKE
dataset/train/devastated.jpg,DEVASTATED
dataset/train/Reburies.jpg,REBURIES
dataset/train/PALPATING.jpg,PALPATING
dataset/train/Perspectives.jpg,PERSPECTIVES
dataset/train/foresighted.jpg,FORESIGHTED
dataset/train/judaisms.jpg,JUDAISMS
dataset/train/Gunfighter.jpg,GUNFIGHTER
dataset/train/Interpreted.jpg,INTERPRETED
dataset/train/submerse.jpg,SUBMERSE
dataset/train/aright.jpg,ARIGHT
dataset/train/dimmer.jpg,DIMMER
dataset/train/DDTS.jpg,DDTS
dataset/train/dumpsters.jpg,DUMPSTERS
dataset/train/Dekum.jpg,DEKUM
dataset/train/GEHENNA.jpg,GEHENNA
dataset/train/bookie.jpg,BOOKIE
dataset/train/inform.jpg,INFORM
dataset/train/Hammered.jpg,HAMMERED
dataset/train/Depressor.jpg,DEPRESSOR
dataset/train/Redden.jpg,REDDEN
dataset/train/subways.jpg,SUBWAYS
dataset/train/SUBSTANTIVE.jpg,SUBSTANTIVE
dataset/train/Streptococci.jpg,STREPTOCOCCI
dataset/train/HASHES.jpg,HASHES
dataset/train/Blithe.jpg,BLITHE
